Date,MRNA,PFE,JNJ,GOOGL,META,AAPL,COST,WMT,KR,JPM,BAC,HSBC
2022-03-11,138.1999969482422,50.27000045776367,169.35000610351562,129.87049865722656,187.61000061035156,154.72999572753906,527.4199829101562,142.07000732421875,55.88999938964844,128.88999938964844,40.33000183105469,31.1200008392334
2022-03-14,150.07000732421875,52.25,171.69000244140625,125.95099639892578,186.6300048828125,150.6199951171875,525.9500122070312,144.0500030517578,55.41999816894531,130.1699981689453,41.20000076293945,31.829999923706055
2022-03-15,148.1199951171875,52.209999084472656,176.13999938964844,129.197998046875,192.02999877929688,155.08999633789062,542.3200073242188,145.77999877929688,56.189998626708984,132.47999572753906,41.5,31.549999237060547
2022-03-16,169.36000061035156,52.91999816894531,174.52000427246094,133.28050231933594,203.6300048828125,159.58999633789062,543.3900146484375,145.35000610351562,54.9900016784668,138.39999389648438,42.79999923706055,32.68000030517578
2022-03-17,168.25999450683594,54.2400016784668,176.8000030517578,133.83900451660156,207.83999633789062,160.6199951171875,552.7899780273438,145.00999450683594,55.65999984741211,140.14999389648438,43.029998779296875,33.209999084472656
2022-03-18,178.92999267578125,54.5099983215332,174.83999633789062,136.12550354003906,216.49000549316406,163.97999572753906,561.3499755859375,145.44000244140625,55.81999969482422,140.10000610351562,42.900001525878906,33.20000076293945
2022-03-21,175.3800048828125,54.189998626708984,175.8300018310547,136.10150146484375,211.49000549316406,165.3800048828125,555.530029296875,144.22999572753906,55.68000030517578,139.64999389648438,42.84000015258789,33.0
2022-03-22,186.72000122070312,53.040000915527344,175.0,139.8679962158203,216.64999389648438,168.82000732421875,559.4199829101562,143.8000030517578,56.56999969482422,142.6199951171875,44.18000030517578,34.11000061035156
2022-03-23,178.72999572753906,52.189998626708984,174.33999633789062,138.27549743652344,213.4600067138672,170.2100067138672,554.02001953125,141.9499969482422,56.45000076293945,139.77999877929688,43.09000015258789,33.529998779296875
2022-03-24,179.67999267578125,52.59000015258789,175.24000549316406,141.57200622558594,219.57000732421875,174.07000732421875,558.1099853515625,142.8300018310547,56.75,140.69000244140625,43.06999969482422,34.09000015258789
2022-03-25,165.9199981689453,52.779998779296875,176.9199981689453,141.67300415039062,221.82000732421875,174.72000122070312,555.7100219726562,143.4499969482422,57.0,141.9199981689453,43.72999954223633,34.209999084472656
2022-03-28,173.0800018310547,53.279998779296875,177.8300018310547,141.45550537109375,223.58999633789062,175.60000610351562,565.2100219726562,146.0,57.0,140.8699951171875,43.54999923706055,34.0
2022-03-29,180.63999938964844,52.7400016784668,177.74000549316406,142.5054931640625,229.86000061035156,178.9600067138672,569.97998046875,147.22999572753906,56.38999938964844,141.17999267578125,43.439998626708984,34.439998626708984
2022-03-30,174.9199981689453,52.439998626708984,179.58999633789062,141.93850708007812,227.85000610351562,177.77000427246094,576.469970703125,149.8699951171875,56.369998931884766,140.5399932861328,43.0,34.47999954223633
2022-03-31,172.25999450683594,51.77000045776367,177.22999572753906,139.0675048828125,222.36000061035156,174.61000061035156,575.8499755859375,148.9199981689453,57.369998931884766,136.32000732421875,41.220001220703125,34.220001220703125
2022-04-01,176.58999633789062,51.56999969482422,178.19000244140625,140.15049743652344,224.85000610351562,174.30999755859375,575.5700073242188,151.00999450683594,57.47999954223633,135.30999755859375,40.900001525878906,34.63999938964844
2022-04-04,172.5399932861328,50.939998626708984,176.47000122070312,142.97149658203125,233.88999938964844,178.44000244140625,575.1300048828125,151.0399932861328,57.439998626708984,135.91000366210938,40.83000183105469,34.4900016784668
2022-04-05,162.0500030517578,51.2400016784668,177.61000061035156,140.59100341796875,231.83999633789062,175.05999755859375,575.3200073242188,151.47000122070312,57.650001525878906,133.33999633789062,40.13999938964844,34.349998474121094
2022-04-06,154.6199951171875,52.869998931884766,182.22999572753906,136.54800415039062,223.3000030517578,171.8300018310547,584.7899780273438,154.99000549316406,58.72999954223633,131.49000549316406,39.70000076293945,34.220001220703125
2022-04-07,159.0,55.15999984741211,181.75999450683594,135.8885040283203,222.9499969482422,172.13999938964844,608.0499877929688,156.5399932861328,59.880001068115234,131.08999633789062,39.38999938964844,34.369998931884766
2022-04-08,160.83999633789062,55.16999816894531,182.1199951171875,133.28750610351562,222.3300018310547,170.08999633789062,600.0399780273438,157.41000366210938,61.66999816894531,133.49000549316406,39.66999816894531,34.529998779296875
2022-04-11,160.0,53.93000030517578,179.83999633789062,128.82350158691406,216.4600067138672,165.75,584.6699829101562,154.2899932861328,60.650001525878906,133.0,39.59000015258789,34.619998931884766
2022-04-12,159.5,53.11000061035156,179.89999389648438,127.7145004272461,214.13999938964844,167.66000366210938,581.3599853515625,153.22999572753906,58.75,131.5399932861328,39.16999816894531,33.5099983215332
2022-04-13,169.66000366210938,53.099998474121094,180.66000366210938,129.8939971923828,214.99000549316406,170.39999389648438,591.0900268554688,157.22000122070312,58.34000015258789,127.30000305175781,38.81999969482422,33.959999084472656
2022-04-14,165.49000549316406,53.119998931884766,179.89999389648438,126.7300033569336,210.17999267578125,165.2899932861328,590.3900146484375,157.0800018310547,58.31999969482422,126.12000274658203,37.56999969482422,33.939998626708984
2022-04-18,154.75,51.84000015258789,177.66000366210938,127.67649841308594,210.77000427246094,165.07000732421875,582.1199951171875,155.8800048828125,57.81999969482422,128.4600067138672,38.849998474121094,33.88999938964844
2022-04-19,152.72000122070312,50.18000030517578,183.0800018310547,130.00900268554688,217.30999755859375,167.39999389648438,594.2999877929688,157.64999389648438,57.790000915527344,131.1199951171875,39.56999969482422,34.36000061035156
2022-04-20,150.1199951171875,49.75,183.88999938964844,128.0399932861328,200.4199981689453,167.22999572753906,603.530029296875,159.6300048828125,57.70000076293945,131.5800018310547,39.65999984741211,34.970001220703125
2022-04-21,144.5,49.11000061035156,183.36000061035156,124.81449890136719,188.07000732421875,166.4199981689453,591.739990234375,159.8699951171875,58.18000030517578,130.55999755859375,38.90999984741211,34.5099983215332
2022-04-22,140.33999633789062,48.130001068115234,181.5399932861328,119.635498046875,184.11000061035156,161.7899932861328,571.7000122070312,156.86000061035156,57.0,126.80999755859375,37.560001373291016,33.439998626708984
2022-04-25,150.41000366210938,48.95000076293945,186.00999450683594,123.0739974975586,186.99000549316406,162.8800048828125,568.2100219726562,156.94000244140625,56.689998626708984,126.7699966430664,37.290000915527344,32.380001068115234
2022-04-26,145.7899932861328,49.029998779296875,184.67999267578125,118.6500015258789,180.9499969482422,156.8000030517578,553.760009765625,155.3000030517578,55.720001220703125,123.0199966430664,36.45000076293945,29.84000015258789
2022-04-27,142.42999267578125,49.7400016784668,182.10000610351562,114.29450225830078,174.9499969482422,156.57000732421875,554.0800170898438,154.24000549316406,55.58000183105469,121.41999816894531,36.25,30.440000534057617
2022-04-28,142.52000427246094,50.5099983215332,183.4600067138672,118.52249908447266,205.72999572753906,163.63999938964844,562.0,156.2100067138672,55.4900016784668,123.33999633789062,36.810001373291016,31.0
2022-04-29,134.41000366210938,49.06999969482422,180.4600067138672,114.1094970703125,200.47000122070312,157.64999389648438,531.719970703125,152.99000549316406,53.959999084472656,119.36000061035156,35.68000030517578,31.010000228881836
2022-05-02,142.0800018310547,48.34000015258789,178.63999938964844,116.58300018310547,211.1300048828125,157.9600067138672,528.9500122070312,151.97999572753906,53.720001220703125,120.44999694824219,36.13999938964844,30.889999389648438
2022-05-03,146.5399932861328,49.290000915527344,178.2899932861328,117.33399963378906,212.02999877929688,159.47999572753906,528.0800170898438,152.50999450683594,54.790000915527344,123.02999877929688,37.130001068115234,32.18000030517578
2022-05-04,155.0500030517578,49.65999984741211,180.1999969482422,122.26100158691406,223.41000366210938,166.02000427246094,544.4299926757812,154.6199951171875,55.77000045776367,127.0999984741211,38.619998931884766,32.95000076293945
2022-05-05,142.02000427246094,48.45000076293945,176.75999450683594,116.50550079345703,208.27999877929688,156.77000427246094,517.3200073242188,152.74000549316406,53.849998474121094,123.91999816894531,37.540000915527344,31.440000534057617
2022-05-06,134.39999389648438,49.040000915527344,176.3699951171875,115.74649810791016,203.77000427246094,157.27999877929688,503.3599853515625,149.55999755859375,53.849998474121094,123.72000122070312,37.45000076293945,31.25
2022-05-09,135.8000030517578,48.63999938964844,177.3300018310547,112.51100158691406,196.2100067138672,152.05999755859375,498.8299865722656,151.30999755859375,54.84000015258789,121.86000061035156,36.369998931884766,30.43000030517578
2022-05-10,132.32000732421875,49.4900016784668,177.08999633789062,114.3949966430664,197.64999389648438,154.50999450683594,501.4599914550781,149.17999267578125,55.189998626708984,118.88999938964844,35.7599983215332,30.75
2022-05-11,123.43000030517578,49.45000076293945,176.1300048828125,113.60250091552734,188.74000549316406,146.5,489.0799865722656,147.6199951171875,54.33000183105469,118.13999938964844,35.56999969482422,30.280000686645508
